South Carolina,SC,150,WTA,9,7,10-Oct,64,28,25,865941,1071645,1964118,862449,1034896,1920969,504051,573458,1149457,1,
South Dakota,SD,78,WTA,3,8-9,24-Sep,83,2,27,145039,210610,363815,170924,203054,381975,139333,150543,323826,1,
Tennessee,TN,108,WTA,11,8,19-Oct,74,17,24,960709,1462330,2458577,1087437,1479178,2599749,909146,863530,1894105,2,
Texas,TX,150,WTA,38,8-9,24-Oct,43,13,27,3308124,4569843,7993851,3528633,4479328,8077795,2459683,2736167,5611644,2,
Utah,UT,60,WTA,6,10,25-Oct,79,1,31,251813,740600,1017440,327670,596030,952370,221633,361911,665629,1,
Vermont,VT,201,WTA,3,7,25-Oct,93,1,35,199239,92698,299290,219262,98974,325046,137894,80352,258449,,1
Virginia,VA,209,WTA,13,7,,63,20,36,1971820,1822522,3854489,1959532,1725005,3723260,1091060,1138350,2416642,,2
Washington,WA,204,WTA,12,11,,70,4,32,1755396,1290670,3125516,1750848,1229216,3036878,1123323,840712,2253837,,1
West Virginia,WV,48,WTA,5,7:30,26-Oct,92,4,19,238269,417655,670438,303857,397466,713451,327812,233946,636459,1,1
Wisconsin,WI,163,WTA,10,9,24-Oct,82,7,27,1620985,1407966,3068434,1677211,1262393,2983417,1071971,845029,2196169,,1
Wyoming,WY,29,WTA,3,9,30-Sep,84,1,25,69286,170962,249061,82868,164958,254658,77934,105388,211571,2,
Total,,,,,,,,,,65915796,60933500,129085403,69498516,59948323,131313820,47400125,39198755,96277634,,
